Metabolite,F3.049,F3.097,F3.002,F3.050,F3.098,F3.013,F3.061,F3.109,F3.062,F3.110,F3.025,F3.073,F3.121,F3.026,F3.074,F3.122,F3.085,F3.133,F3.038,F3.086,F3.134,F4.001,F4.009,F4.065,F4.005,F4.069,F4.037,F4.017,F4.045,F4.021,F4.049,F4.081,F4.025,F4.053,F4.085,F4.029,F4.057,F4.089,F4.033,F4.061,F4.093
glutamine,6.599208618,6.102532958,5.860026225,6.777897648,6.956806762,6.212267886,7.524096644,7.329318733,7.027187206,6.246169933,6.579486891,7.097618693,7.075135886,6.590454086,7.328568357,7.026008805,8.423524688,7.85974082,7.795922412,8.716032945,8.081872436,6.56539018,6.534244402,6.893344383,6.345487448,6.790404646,6.833610524,6.222993136,6.413470082,7.176218806,7.376965692,7.163938407,7.218182102,7.455575736,7.140439686,7.654861367,7.882946225,8.201223658,8.324920268,7.901974878,8.025345195
citrate,12.6198013,12.308242,11.7219764,12.72719283,12.35165016,11.93535199,12.02271562,11.97323101,12.15674052,11.8547693,11.80116533,11.69522188,11.50869468,10.90324221,11.45699278,11.47233025,12.26476195,12.23408012,11.99318898,12.68030795,11.69260346,12.09739818,12.85311765,12.29257677,12.42679748,12.60749336,12.51659436,12.27605558,12.36227909,11.20602837,11.07796636,11.59079232,11.36980755,11.41941088,11.55377628,12.24900427,12.04509642,12.17213777,12.57188921,12.0467156,12.53366077
aspartate,5.886602572,5.29965817,5.00870666,5.344038056,5.550954649,4.565353338,5.437317659,4.762918445,5.098174458,5.446363361,5.658115364,5.668611138,5.658932203,4.553412128,5.529685737,5.789025667,8.03265479,7.629916936,7.758877588,8.457808245,7.761283205,5.269121796,5.540356454,5.382934498,5.762676799,5.567895898,5.602662836,5.274078306,5.078742746,5.373718539,5.386304123,5.224231261,5.373980843,5.335044023,4.960396095,7.386829677,7.709935865,7.602722522,7.841508616,7.682692565,7.81907483
asparagine,3.774218713,3.74348428,4.11952687,4.587632889,4.287316325,4.036956363,5.253551971,4.283269716,4.680844043,4.208558189,5.321881782,5.311009251,5.450166325,5.519773286,5.554565937,5.870856546,6.972051166,6.263740687,6.586740805,7.162067408,6.702852446,4.800265729,3.463311785,4.22423164,4.935077971,4.572534197,4.207204834,3.999425903,4.387005915,5.364252395,5.302654585,4.966691122,5.442163638,5.481100457,5.256009301,6.109342792,6.125065813,6.664066106,7.065651118,6.721219909,6.475859942
choline,10.04816201,10.02950674,10.44797694,10.1788963,9.944674145,10.34034952,9.938613722,9.907799282,10.40680018,9.624126614,10.24270492,10.03861469,10.05383361,10.21158125,9.89616777,10.0579402,10.06509767,10.17808114,9.94244483,10.68120349,9.758861718,10.1376526,10.29038274,10.24754861,10.27447722,9.919361611,10.13603518,9.890490333,9.96992559,9.499145835,9.301211555,9.483344295,9.735559205,9.544925325,9.865917657,10.1343621,9.917407363,9.822677668,10.53829676,9.926842985,10.19743349
inositol,8.306650227,8.119054796,7.427978717,8.50143983,8.31503995,7.5398788,7.631156862,7.664357236,7.608516646,7.49204471,7.262137387,7.363877949,7.291218128,7.616669822,7.531080602,7.683993245,7.864674339,7.445925949,7.765239084,8.207753983,7.743029247,8.086097377,8.57065949,8.634648325,8.256212031,8.851854318,8.663293338,7.95748788,8.291446269,7.885736491,7.679590711,7.849122628,7.850472975,7.868182965,8.004316522,7.556455523,7.936395295,7.936652613,7.717350082,7.893550882,7.772325892
fructose,11.51068114,11.31862861,11.46621525,11.03204644,10.27208457,12.07593002,12.36184807,12.09648817,12.43344154,11.70241251,12.06181149,12.1596096,11.99473713,12.12284226,11.89328425,11.97195198,12.04645646,12.04902329,11.65798907,12.06767789,11.56815468,10.45694904,11.04757446,10.60827163,10.13526765,10.49891154,10.48195573,11.59109774,12.02459169,12.19307425,11.7118106,11.40698591,12.23374015,12.03347056,11.81589937,12.3995089,12.09612363,12.02385657,12.45552587,11.81941819,12.24663323
pyroglutamate,6.100062215,5.983690522,6.333230995,6.781763324,6.50157421,5.964660224,7.510471303,7.06048022,6.812881348,6.472116081,6.704553051,7.014324602,6.995772054,6.250814719,7.324479657,7.177840872,8.353764192,7.510195612,7.740227455,8.750371253,8.026189039,6.54556148,5.878274847,6.549876501,6.381244886,6.51167638,6.4429799,6.147156413,6.728259322,7.180524488,6.968825835,6.904791518,7.023837676,7.302325067,7.150844436,7.072067552,7.268404712,8.137770584,8.354172609,7.943332201,7.769291224
malate,10.5766518,10.17432413,9.777277819,10.678434,10.25563646,9.928997898,10.59869367,10.23384505,10.75307568,10.29274676,10.28916332,10.30755906,10.1290883,9.689748742,10.1835142,10.44417443,10.13482874,9.641156097,9.365079414,10.35924119,8.701938372,9.667564277,10.77473325,10.12818914,10.35556923,10.35323099,10.3076835,10.62112908,10.85079949,10.27914225,9.652864681,9.933105799,10.46656136,10.18000314,10.36458179,10.06775228,9.143044864,10.06720699,10.30243204,9.800295281,10.46762194
glucose_C1_beta,12.18457079,11.99508731,11.96007718,11.74009154,11.00847874,12.57986926,12.72172485,12.51320352,12.87088945,12.30581169,12.41150315,12.46864529,12.25436224,12.57961717,12.16507096,12.30547629,12.14982407,12.14672099,11.66261124,12.03653835,11.54409724,11.06657954,11.97630683,11.44051016,11.03571152,11.36566026,11.20251583,12.25047302,12.66419969,12.53386329,11.97122219,11.8122702,12.6026807,12.34322727,12.25347171,12.59318241,12.41855467,12.25294464,12.51346656,11.97882705,12.3281614
