Metabolite,Count_Day08,Count_Day15,Count_Day28,Count_Day55,Mean_Day08,Mean_Day15,Mean_Day28,Mean_Day55,Fold_change_Day08_vs_Day15,Fold_change_Day08_vs_Day28,Fold_change_Day08_vs_Day55,P_value_A_Day08_vs_Day15,P_value_A_Day08_vs_Day28,P_value_A_Day08_vs_Day55,Flag_A_Day08_vs_Day15,Flag_A_Day08_vs_Day28,Flag_A_Day08_vs_Day55
asparagine,11,7,12,11,2.0474001878432406,2.1027729177998045,2.401653513311599,2.69483608613747,-0.05537272995656384,-0.3542533254683584,-0.6474358982942294,0.45675029372079806,2.573983781798463e-8,2.3029905046966994e-14,0,-1,-1
choline,11,7,12,11,3.312183935291605,3.2917956808008064,3.2649826804851174,3.305946465030344,0.02038825449079873,0.047201254806487736,0.006237470261261091,0.6434608948728476,0.021482045267463813,0.7426069490130945,0,1,0
inositol,11,7,12,11,3.02736324243058,2.920361695506967,2.9049218715538676,2.9330650380135252,0.10700154692361297,0.12244137087671225,0.09429820441705461,8.475520473043183e-4,1.3925612988859628e-5,4.746291464904182e-4,1,1,1
fructose,11,7,12,11,3.4008425209605844,3.5581661207352577,3.5494984765524293,3.5586843716341052,-0.15732359977467336,-0.14865595559184497,-0.15784185067352086,2.6078414794082866e-7,5.269297031060719e-9,3.0695076364748845e-9,-1,-1,-1
pyroglutamate,11,7,12,11,2.6377161531540794,2.702682454491127,2.7749462769875426,2.949022865979812,-0.06496630133704784,-0.13723012383346322,-0.31130671282573275,0.16189418563198169,8.750137168658541e-4,7.994094248491263e-10,0,-1,-1
malate,11,7,12,11,3.3295238349976786,3.3560828185184564,3.3131635587036556,3.2633251893037554,-0.02655898352077779,0.016360276294022924,0.0661986456939232,0.7273928755399401,0.6891090399852065,0.03537075504757735,0,0,1
glucose_C1_beta,11,7,12,11,3.4968978056626714,3.619059486271447,3.5901376362260264,3.571498473849591,-0.12216168060877575,-0.09323983056335505,-0.0746006681869198,3.4441962302536305e-6,8.116850613275473e-6,1.4439812324306697e-4,-1,-1,-1
Unkm5.10,11,7,12,11,2.526474553308588,2.5055326082909795,2.428221857255997,2.358415381512916,0.02094194501760871,0.09825269605259113,0.1680591717956723,0.6434608948728476,0.003885463044034697,6.238130130640093e-6,0,1,1
mannose,11,7,12,11,2.1280224025468324,2.3170959902469366,2.2409308127265732,2.275725241411378,-0.18907358770010418,-0.11290841017974085,-0.1477028388645456,7.047464989699491e-4,0.005915412104684127,0.00102159066251237,-1,-1,-1
glucose_C1_alpha,11,7,12,11,3.3477183591081983,3.4852950059481933,3.455975759876184,3.4366152533220005,-0.13757664683999504,-0.10825740076798596,-0.0888968942138022,3.4441962302536305e-6,5.4510109219098406e-6,7.435557268814123e-5,-1,-1,-1
galactose,11,7,12,11,0.9714368130551402,1.0106329310456519,0.4349189460432065,1.6225063685870047,-0.0391961179905117,0.5365178670119337,-0.6510695555318645,0.8980119483341675,0.0419978829635167,0.01720699565935052,0,1,-1
galacturonate,11,7,12,11,2.1193523312433267,1.6516890295637872,1.4474027314699889,1.8639133554138814,0.4676633016795395,0.6719495997733378,0.2554389758294453,9.093396706100497e-7,6.702027316089289e-12,2.2723393081891494e-4,1,1,1
unkS5.39,11,7,12,11,2.6383092284157144,2.587447761456588,2.692771065143407,2.6347965444330868,0.0508614669591263,-0.05446183672769278,0.003512683982627607,0.6913776225587205,0.6455946272794871,0.9356884138743509,0,0,0
